SDSS_dr8objid	GZ_dr8objid
1237654382514602084	1237654382514602084
1237653588485210216	1237654383047999617
null	1237654383050358958
1237654383585525862	1237654383585525862
1237654383587754196	1237654383587754196
1237654383589916916	1237654383589916916
1237654383590440975	1237654383590440975
1237654383591030987	1237654383591030987
1237654390032826619	1237654390032826619
1237654390563733757	1237654390563733757
1237654391102439715	1237654391102439715
1237654391107027137	1237654391107027137
1237653614254686392	1237654391644618951
1237654398617059356	1237654398617059356
1237654398617059478	1237654398617059478
1237654398620401770	1237654398620401770
1237654399153995961	1237654399153995961
null	1237654399688507438
1237654399689621704	1237654399689621704
1237654399690932395	1237654399690932395
1237654399691981009	1237654399691981009
1237654640207659106	1237654399697420428
1237651196181676178	1237654400225181868
1237654640746954891	1237654400236716172
1237654400764149907	1237654400764149907
1237654400765460606	1237654400765460606
1237654400766509251	1237654400766509251
1237651755074650322	1237654599956431126
1237654031397224520	1237654599957086269
1237654031399780522	1237654599959642260
null	1237654600479277269
1237654600487731406	1237654600487731406
1237654601026175068	1237654601026175068
1237654601029058641	1237654601029058641
1237654601029845120	1237654601029845120
1237654601032794209	1237654601032794209
1237654601556033873	1237654601556033873
1237654601557147912	1237654601557147912
1237654601560162623	1237654601560162623
1237654601568026837	1237654601568026837
1237654601571106901	1237654601571106901
1237654605856309409	1237654602098409561
1237654602100113575	1237654602100113575
1237658423537959176	1237654602625712178
1237654602635542776	1237654602635542776
1237654604249759954	1237654604249759954
1237654604251070609	1237654604251070609
1237654604253233254	1237654604253233254
1237654604253757619	1237654604253757619
1237654604256116949	1237654604256116949
1237654604261949645	1237654604261949645
1237654604773655343	1237654604773655343
1237654604775227450	1237654604775227450
1237654604775555311	1237654604775555311
1237654604784074992	1237654604784074992
1237654604784926773	1237654604784926773
1237654604786958467	1237654604786958467
1237654604787875943	1237654604787875943
1237654604788924658	1237654604788924658
1237654604789842103	1237654604789842103
1237654604790235275	1237654604790235275
1237654604796395611	1237654604796395611
1237654604799279272	1237654604799279272
1237654605315899572	1237654605315899572
1237654605323436134	1237654605323436134
1237654605328023638	1237654605328023638
1237654605329727638	1237654605329727638
1237654605331169411	1237654605331169411
1237654605332742295	1237654605332742295
1237654605333201110	1237654605333201110
1237654605333987503	1237654605333987503
1237654605335429224	1237654605335429224
1237654605336346801	1237654605336346801
1237668675622338639	1237654605336739993
1237654605851918391	1237654605851918391
1237654605855719628	1237654605855719628
1237654605857358005	1237654605857358005
1237654605857816793	1237654605857816793
1237654605860700313	1237654605860700313
1237654605864632434	1237654605864632434
1237654605864632591	1237654605864632591
1237654605868499090	1237654605868499090
1237654605872365773	1237654605872365773
1237654605872824374	1237654605872824374
1237654605872889950	1237654605872889950
1237654606399471628	1237654606399471628
1237654606406615223	1237654606406615223
1237654606407139445	1237654606407139445
1237654606947155983	1237654606947155983
1237654399156945112	1237654609605886208
1237654639674851437	1237654639674851437
1237657595682750601	1237654651484242400
1237654652033368289	1237654652033368289
1237654652034482235	1237654652034482235
1237654652561588590	1237654652561588590
1237654652566110432	1237654652566110432
1237654652569125194	1237654652569125194
1237654653094134089	1237654653094134089
1237654653097935029	1237654653097935029
1237654653102456861	1237654653102456861
1237654653105864846	1237654653105864846
1237654653636051007	1237654653636051007
1237654653641556196	1237654653641556196
1237654653644570709	1237654653644570709
1237654390028828886	1237654654172070205
1237653612109692940	1237654654179737747
1237654380904120470	1237654654180393102
null	1237654668675055622
1237654669739884742	1237654669739884742
1237654669740212268	1237654669740212268
1237654670812774584	1237654670812774584
1237654871070736519	1237654871070736519
1237654871609639035	1237654871609639035
1237654872682659990	1237654872682659990
null	1237654873209045516
1237654874824048795	1237654874824048795
1237654875357708432	1237654875357708432
1237654875358232662	1237654875358232662
1237651251501531256	1237654876436627596
1237654879122817191	1237654879122817191
1237654879126618321	1237654879126618321
1237654879128256664	1237654879128256664
1237668675085795512	1237654879650709782
1237654879652151387	1237654879652151387
1237654879656542226	1237654879656542226
1237654879661457663	1237654879661457663
1237654879669780519	1237654879669780519
1237654879672271132	1237654879672271132
1237654879673450669	1237654879673450669
1237654880191905867	1237654880191905867
1237654880200032368	1237654880200032368
1237654880205537609	1237654880205537609
1237654880206586037	1237654880206586037
1237654880206651543	1237654880206651543
1237654880727335098	1237654880727335098
1237654880727728243	1237654880727728243
1237654880733757593	1237654880733757593
1237654880737886356	1237654880737886356
1237654880741294238	1237654880741294238
1237654880742670528	1237654880742670528
1237654881262239857	1237654881262239857
1237654881271087128	1237654881271087128
1237654881273774221	1237654881273774221
1237654881801470132	1237654881801470132
1237654881802453109	1237654881802453109
1237655742945362036	1237654881815298257
1237654948376346798	1237654948376346798
1237654948377788585	1237654948377788585
1237654948912496834	1237654948912496834
1237654949450350720	1237654949450350720
1237654949983354964	1237654949983354964
1237654949987287124	1237654949987287124
1237654950523044100	1237654950523044100
1237654953201762613	1237654953201762613
1237654953203400808	1237654953203400808
1237654953205170487	1237654953205170487
